구간,라벨,goods_no,판정,의미,p_female,브랜드,상품명
선행,남성,3563366,M,동성·모델없음(유지),0.9645,돌돌,Graffiti-tree_T-shirts_16 동물의 숲 그래피티 트리 캐릭터 그래픽 티셔츠 반팔티
선행,남성,6605742,X,혼성(유지),0.9644,노밍,[2PACK] 루즈핏 크롭 이지 숏 슬리브  (4COLOR)
선행,남성,2437080,M,동성·모델없음(유지),0.9640,스터프,아카데미 루즈핏 헤비 반팔티 블랙
선행,남성,3327408,M,동성·모델없음(유지),0.9639,칸6312,KSB0185 큐티걸스 롱슬리브리스 - 블랙
선행,남성,4052125,M,동성·모델없음(유지),0.9634,돌돌,WOOPS-T-65  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,777939,M,동성·모델없음(유지),0.9631,아파트먼트,Ordinary Mansion Half Sleeve - Orange
선행,남성,4224925,M,동성·모델없음(유지),0.9631,돌돌,WOOPS-T-123  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,1968187,M,동성·모델없음(유지),0.9627,칸6312,KTC0059 숭배 반팔티셔츠 - 베이지
선행,남성,4103997,M,동성·모델없음(유지),0.9616,돌돌,WOOPS-T-90  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,1932937,M,동성·모델없음(유지),0.9602,칸6312,KTW0023 치카노퀸 반팔티셔츠 - 화이트
선행,남성,564817,M,동성·모델없음(유지),0.9601,콴토데로코스,ROCKET_TEE_BLACK
선행,남성,3241917,M,동성·모델없음(유지),0.9599,칸6312,KTW0185 큐티걸스 반팔 티셔츠 화이트
선행,남성,2253998,M,동성·모델없음(유지),0.9597,칸6312,KHC0059 숭배 기모 후드 - 크림
선행,남성,4174916,M,동성·모델없음(유지),0.9593,돌돌,WOOPS-T-104  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,3262453,M,동성·모델없음(유지),0.9569,칸6312,KTC0191 마리아 반팔 티셔츠 베이지
선행,남성,4104011,M,동성·모델없음(유지),0.9565,돌돌,WOOPS-T-103  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,4080722,M,동성·모델없음(유지),0.9555,돌돌,WOOPS-T-85  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,3300738,M,동성·모델없음(유지),0.9553,돌돌,FICO_tshirts-171 익스트림 낚시 브랜드 피코 시즌2 캐릭터 그래픽 디자인 티셔츠
선행,남성,3262435,M,동성·모델없음(유지),0.9543,칸6312,KTW0191 마리아 반팔 티셔츠 화이트
선행,남성,2961337,M,동성·모델없음(유지),0.9538,칸6312,KHG0191 마리아 기모 후드 그레이
선행,남성,2717445,M,동성·모델없음(유지),0.9537,돌돌,FICO_tshirts-09 익스트림 바다 낚시 앵글러 코끼리 피코 캐릭터 그래픽 디자인 티셔츠
선행,남성,2708003,M,동성·모델없음(유지),0.9532,칸6312,KSB0152 치카노걸스 스케이트보드 롱슬리브리스 - 블랙
선행,남성,5885376,M,동성·모델없음(유지),0.9521,오프메이드,[기모추가] 써클 레터링 오버핏 프린팅 후드티
선행,남성,6107202,M,동성·모델없음(유지),0.9517,그루브라임,아프로 오션차일드 백 그래픽 반팔 티셔츠 (LRSMCTR715M)
선행,남성,5528337,M,동성·모델없음(유지),0.9512,프랑켄모노,(쭈리기모) 루나 섀도우 후드 티셔츠
선행,남성,3192747,M,동성·모델없음(유지),0.9505,돌돌,loving-flower_t_14 러빙플라워 봄 튤립 꽃  일러스트 디자인 티셔츠
선행,남성,2558509,M,동성·모델없음(유지),0.9493,칸6312,KSB0024 치카노크로스 롱슬리브리스 - 블랙
선행,남성,6227690,M,동성·모델없음(유지),0.9493,휠라,테니스 Drywave 클럽매치 자카드 카라티(FS262TS11U001472)
선행,남성,998825,M,동성·모델없음(유지),0.9492,메리제임스,[남녀공용-오버핏] MODERATO HALF SLEEVE (7 COLOR)
선행,남성,6366908,M,동성·모델없음(유지),0.9489,복스로,We Dont Play Boxing 오버사이즈 티셔츠 - 여성 W BXRW-U-WDPBT-W [블랙]
선행,남성,2936937,M,동성·모델없음(유지),0.9481,칸6312,KHG0185 큐티걸스 기모 후드 그레이
선행,남성,2936940,M,동성·모델없음(유지),0.9473,칸6312,KHB0185 큐티걸스 기모 후드 블랙
선행,남성,4080716,M,동성·모델없음(유지),0.9471,돌돌,WOOPS-T-82  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,6038197,M,동성·모델없음(유지),0.9467,유에프씨 스포츠,UFC 파이트클럽 메가핏 후드티 블랙 U2HDX1101BK
선행,남성,6964675,X,혼성(유지),0.9465,노디,럭키 마그넷 롱슬리브 블랙
선행,남성,1874386,M,동성·모델없음(유지),0.9457,돌돌,RUNCH-T-02 런닝 치타 런치 캐릭터 그래픽 티셔츠
선행,남성,6412991,M,동성·모델없음(유지),0.9453,현피트,SHOULDER 2-STRIPES T-SHIRT-[BLACK]
선행,남성,5086979,X,혼성(유지),0.9452,윌리워 스튜디오,아카이브 파리 티셔츠[3 COLOR]
선행,남성,5080385,X,혼성(유지),0.9445,레이몬트,에센셜  RAI 로고 솔리드 반팔 티셔츠_브릭레드
선행,남성,6079013,M,동성·모델없음(유지),0.9443,아스파라거스,프론트 라인 슬리브리스 탑 레더
선행,남성,3241924,M,동성·모델없음(유지),0.9433,칸6312,KTN0185 큐티걸스 반팔 티셔츠 네이비
선행,남성,3241939,M,동성·모델없음(유지),0.9431,칸6312,KTG0185 큐티걸스 반팔 티셔츠 그레이
선행,남성,3370450,M,동성·모델없음(유지),0.9428,칸6312,KTPG0185 큐티걸스 피그먼트 반팔티셔츠  - 그레이
선행,남성,2253997,M,동성·모델없음(유지),0.9423,칸6312,KHG0059 숭배 기모 후드 - 그레이
선행,남성,3370725,M,동성·모델없음(유지),0.9420,칸6312,KTPN0185 큐티걸스 피그먼트 반팔티셔츠 - 블루
